Sample,F1,F2,F4,Psi,Insert_mean,Insert_sd,Read_length,Initial_read_length,F2a,F2a_c,Length
DB143.bam,3794,731,346,2.02,234.0,47.56,100,100,385,385,1578.5
DB144.bam,2385,440,260,1.429,248.0,61.503,100,100,180,180,2281.8
DB145.bam,3711,685,321,2.002,228.0,47.628,100,100,364,364,1524.5
DB146.bam,2565,338,290,1.601,269.0,64.055,100,100,48,48,9180.4
DB147.bam,2384,394,283,1.587,267.0,63.916000000000004,100,100,111,111,3922.9
DB148.bam,2119,431,208,1.669,275.0,63.391000000000005,100,100,223,223,1985.4
DB149.bam,3739,675,330,1.946,242.0,51.123999999999995,100,100,345,345,1787.1
DB150.bam,3038,485,302,1.6,257.0,58.121,100,100,183,183,2870.3
DB151.bam,1778,468,240,1.7530000000000001,241.0,49.644,100,100,228,228,1385.4
DB152.bam,1966,495,281,1.3090000000000002,266.0,63.123000000000005,100,100,214,214,1716.0
DB153.bam,3099,569,328,1.8359999999999999,243.0,48.497,100,100,241,241,2038.4
DB154.bam,1829,454,212,1.661,255.0,58.48,100,100,242,242,1437.9
DB155.bam,1729,524,224,1.7630000000000001,257.0,58.003,100,100,300,300,1202.0
DB156.bam,1053,355,186,1.234,262.0,57.192,100,100,169,169,1316.8
DB157.bam,1979,467,207,1.929,243.0,49.575,100,100,260,260,1321.8
DB234.bam,1897,367,214,2.1319999999999997,250.0,54.49,100,100,153,153,2179.8
DB158.bam,3622,550,280,2.045,230.0,45.982,100,100,270,270,1996.5
DB159.bam,1405,368,184,1.301,263.0,61.031000000000006,100,100,184,184,1611.2
DB160.bam,1919,526,192,1.761,265.0,60.036,100,100,334,334,1182.8
DB161.bam,3764,609,310,2.002,261.0,59.574,100,100,299,299,2312.9
DB162.bam,3843,623,277,1.899,249.0,50.06100000000001,100,100,346,346,1875.8
DB163.bam,3430,494,339,1.659,257.0,61.177,100,100,155,155,3802.3
DB164.bam,6228,901,526,2.273,217.0,44.331,100,100,375,375,2145.3
DB165.bam,3604,514,363,1.633,251.0,56.528,100,100,151,151,3784.3
DB166.bam,1809,534,189,2.207,264.0,58.753,100,100,345,345,1136.2
DB167.bam,3409,445,264,1.8559999999999999,266.0,61.364,100,100,181,181,3405.9
DB168.bam,1344,409,146,1.569,283.0,66.032,100,100,263,263,1236.9
DB169.bam,1094,323,178,1.286,259.0,57.604,100,100,145,145,1491.3
DB170.bam,5126,690,411,1.815,238.0,51.336000000000006,100,100,279,279,2726.4
DB171.bam,3196,516,283,1.899,253.0,56.178999999999995,100,100,233,233,2371.6
DB172.bam,7723,716,292,2.345,244.0,57.265,100,100,424,424,2851.3
DB173.bam,3674,551,366,1.5530000000000002,261.0,57.673,100,100,185,185,3405.3
DB174.bam,5474,649,458,1.922,236.0,51.381,100,100,191,191,4116.2
DB175.bam,4871,561,275,2.129,247.0,55.588,100,100,286,286,2770.0
DB176.bam,6915,665,316,2.237,257.0,61.243,100,100,349,349,3339.6
DB177.bam,1293,341,177,1.495,252.0,57.227,100,100,164,164,1463.6
DB178.bam,6422,759,304,2.043,265.0,63.217,100,100,455,455,2602.1
DB179.bam,3822,614,322,1.966,249.0,60.693999999999996,100,100,292,292,2167.0
DB180.bam,5034,578,262,1.982,273.0,64.085,100,100,316,316,3037.4
DB181.bam,2379,519,240,1.73,269.0,62.588,100,100,279,279,1745.2
DB182.bam,5073,676,306,1.756,273.0,62.504,100,100,370,370,2632.2
DB183.bam,1969,477,238,1.405,277.0,63.708999999999996,100,100,239,239,1745.3
DB184.bam,3814,793,370,1.6059999999999999,244.0,50.356,100,100,423,423,1553.6
DB185.bam,2288,399,280,1.531,242.0,52.413000000000004,100,100,119,119,2990.5
DB186.bam,7588,918,388,1.935,259.0,63.253,100,100,530,530,2559.7
DB187.bam,2877,582,301,2.1109999999999998,252.0,53.739,100,100,281,281,1863.2
DB188.bam,4118,638,291,1.891,276.0,65.89399999999999,100,100,347,347,2299.4
DB189.bam,2990,368,339,1.632,242.0,53.481,100,100,29,29,14703.5
DB190.bam,3745,518,270,1.931,270.0,66.725,100,100,248,248,2850.5
DB191.bam,1458,344,146,1.535,254.0,55.125,100,100,198,198,1388.9
DB192.bam,2939,569,324,1.476,227.0,50.906000000000006,100,100,245,245,1799.1
DB193.bam,4284,579,362,1.923,253.0,57.047,100,100,217,217,3341.1
DB194.bam,1659,375,229,1.339,255.0,57.263999999999996,100,100,146,146,1999.5
DB195.bam,1644,463,260,1.4580000000000002,259.0,59.138999999999996,100,100,203,203,1583.0
DB196.bam,1953,510,288,1.3259999999999998,270.0,63.205,100,100,222,222,1777.1
DB197.bam,1683,311,287,1.3769999999999998,244.0,59.138000000000005,100,100,24,24,10260.0
DB198.bam,7710,1040,485,2.524,234.0,49.886,100,100,555,555,2083.6
DB199.bam,4055,674,311,1.9240000000000002,249.0,56.488,100,100,363,363,1873.1
DB200.bam,4589,703,338,2.314,233.0,50.81,100,100,365,365,1917.0
DB201.bam,3314,638,220,1.8090000000000002,267.0,61.64,100,100,418,418,1590.7
DB202.bam,1935,627,237,1.444,252.0,51.591,100,100,390,390,1003.2
DB203.bam,1714,380,214,1.501,266.0,61.458999999999996,100,100,166,166,1916.5
DB204.bam,1294,290,170,1.689,268.0,59.998999999999995,100,100,120,120,2089.9
DB205.bam,3940,478,337,1.98,259.0,56.702,100,100,141,141,4718.9
DB206.bam,3287,697,278,2.08,250.0,55.51,100,100,419,419,1430.2
DB207.bam,2931,603,247,1.864,260.0,61.968,100,100,356,356,1576.9
DB208.bam,3298,677,258,1.995,251.0,55.408,100,100,419,419,1424.3
DB209.bam,1338,327,160,1.386,264.0,60.333,100,100,167,167,1621.0
DB210.bam,3084,655,276,1.4980000000000002,240.0,51.533,100,100,379,379,1366.1
DB211.bam,2142,376,167,1.706,262.0,61.653,100,100,209,209,1880.4
DB212.bam,2717,562,274,1.9269999999999998,250.0,51.161,100,100,288,288,1705.5
DB213.bam,755,252,131,1.39,250.0,62.035,100,100,121,121,1193.9
DB214.bam,2288,484,254,1.4780000000000002,278.0,64.35600000000001,100,100,230,230,2014.9
DB215.bam,3039,411,377,1.6440000000000001,241.0,53.56100000000001,100,100,34,34,12742.5
DB216.bam,2718,469,280,1.546,270.0,67.05,100,100,189,189,2683.5
DB217.bam,1625,476,197,1.705,220.0,70.67399999999999,100,100,279,279,925.0
DB218.bam,5235,824,446,2.305,221.0,43.088,100,100,378,378,1923.4
DB219.bam,2075,450,215,1.6280000000000001,254.0,58.198,100,100,235,235,1646.4
DB220.bam,2243,490,240,1.4469999999999998,245.0,53.391000000000005,100,100,250,250,1546.5
DB221.bam,3217,384,269,1.92,256.0,60.711000000000006,100,100,115,115,4599.0
DB222.bam,2815,536,250,1.739,243.0,51.17100000000001,100,100,286,286,1651.4
DB224.bam,2712,501,285,1.604,273.0,65.40100000000001,100,100,216,216,2362.1
DB225.bam,3439,493,323,1.926,257.0,56.832,100,100,170,170,3445.4
DB226.bam,2463,447,283,1.6030000000000002,246.0,51.213,100,100,164,164,2384.6
DB227.bam,4629,502,294,1.8119999999999998,250.0,54.591,100,100,208,208,3434.3
DB228.bam,2958,586,237,2.115,235.0,48.081,100,100,349,349,1358.6
DB229.bam,1963,364,214,1.44,273.0,65.064,100,100,150,150,2542.0
